CountryCode|NumUsers|Ratio|AvgRep|TotalUpVotes|TotalDownVotes|TotalReputation
CL|201|20|703|10511|516|141320
CA|5231|11|575|373631|33387|3009494
CG|1|1|1|0|0|1
CD|1|5|654|41|9|654
CZ|661|14|692|52812|3646|457686
CY|56|16|243|1912|123|13590
CX|2|1|1|0|0|2
MA|87|35|263|4197|119|22918
CW|9|1|22|15|0|202
CV|3|1|5|0|0|15
CU|33|58|134|816|14|4412
SZ|5|1|42|3|0|211
SY|80|41|413|7259|178|33033
KG|23|28|239|504|18|5499
KE|152|42|142|2476|59|21576
16|24|36|155|784|22|3708
SS|1|1|1|0|0|1
SR|2|1|100|8|0|199
KI|3|1|53|2|0|158
KH|54|38|182|1037|27|9825
SV|24|10|361|929|94|8657
SK|197|11|651|18016|1576|128158
KR|435|15|127|5134|335|55173
SI|199|19|893|21197|1121|177756
KP|4|1|2|0|0|9
SO|11|31|315|619|20|3465
SN|27|1|45|44|0|1209
SM|2|4|7649|469|124|15297
SL|1|1|3|0|0|3
SC|14|68|156|204|3|2181
KZ|63|41|156|1636|40|9814
SA|85|41|351|7642|187|29793
SG|642|20|534|36007|1826|342687
SE|2129|12|668|152833|12680|1421500
SD|10|18|204|812|44|2037
DO|84|54|194|4028|74|16331
DM|4|1|35|25|0|141
DJ|1|1|1|0|0|1
DK|1152|10|527|66691|6954|607622
DE|4574|11|906|398412|37272|4144015
YE|8|1|9|4|0|69
DZ|51|11|93|698|63|4730
MK|83|22|365|2910|135|30291
LB|81|14|571|3116|218|46251
LC|1|1|6|0|0|6
TX|109|17|874|14235|846|95301
LA|7|1|208|72|0|1455
TV|1|1|226|19|0|226
TW|334|45|98|4246|94|32714
TT|20|2|463|864|391|9260
TR|1116|17|190|27200|1580|211737
LK|352|60|184|15639|259|64772
LI|4|8|71|83|10|284
LV|518499|15|46|2356140|152425|23824822
TO|4|17|4741|1998|115|18963
LT|230|29|289|16651|583|66373
LU|35|21|291|2057|97|10187
LR|3|1|38|3|0|113
LS|2|1|4|0|0|7
TH|297|18|367|13428|739|108968
TD|1|1|27|8|0|27
TC|1|1|1|0|0|1
LY|9|1|49|54|0|445
02|3|45|674|317|7|2022
AE|146|102|129|2639|26|18770
VE|189|23|160|5311|235|30331
AG|1|1|1|0|0|1
AF|14|46|25|414|9|351
IQ|16|48|40|48|1|632
VI|8|1|85|32|0|682
IS|105|25|573|7485|301|60200
IR|632|40|199|20073|503|125679
AM|71|29|311|3394|116|22099
IT|1686|17|436|90314|5451|735624
VN|431|37|113|12352|338|48911
AQ|2|1|33|39|0|66
AS|2|1|81|1|0|161
AR|716|10|459|34090|3464|328642
IM|7|117|119|117|1|832
IL|875|14|867|94841|6677|758769
AW|4|1|187|147|0|746
IN|14434|15|186|336147|22355|2689979
TZ|29|9|260|1202|138|7538
AZ|35|233|181|2567|11|6335
IE|778|11|681|57967|5479|529850
ID|677|26|86|7972|311|58328
UA|1310|27|291|56303|2068|381181
QA|22|36|638|2507|69|14041
MZ|5|27|186|27|1|929
